city_a,city_b,air_share,rail_share,has_air,has_rail
Amsterdam,Antwerp,0.5,0.5,False,False
Amsterdam,Barcelona,1.0,0.0,True,False
Amsterdam,Berlin,1.0,0.0,True,False
Amsterdam,Bilbao,0.5,0.5,False,False
Amsterdam,Bordeaux,0.5,0.5,False,False
Amsterdam,Bremen,0.5,0.5,False,False
Amsterdam,Brussels,1.0,0.0,True,False
Amsterdam,Cologne,0.44646772012795216,0.5535322798720479,True,True
Amsterdam,Dortmund,0.5,0.5,False,False
Amsterdam,Dresden,0.5,0.5,False,False
Amsterdam,Duisburg,0.5,0.5,False,False
Amsterdam,Dusseldorf,0.5,0.5,False,False
Amsterdam,Essen,0.5,0.5,False,False
Amsterdam,Frankfurt,1.0,0.0,True,False
Amsterdam,Geneva,1.0,0.0,True,False
Amsterdam,Genoa,0.5,0.5,False,False
Amsterdam,Granada,0.5,0.5,False,False
Amsterdam,Hamburg,1.0,0.0,True,False
Amsterdam,Hannover,0.5,0.5,False,False
Amsterdam,Leipzig,0.5,0.5,False,False
Amsterdam,Liege,0.5,0.5,False,False
Amsterdam,Lille,0.5,0.5,False,False
Amsterdam,Lisbon,1.0,0.0,True,False
Amsterdam,London,1.0,0.0,True,False
Amsterdam,Lyon,1.0,0.0,True,False
Amsterdam,Madrid,1.0,0.0,True,False
Amsterdam,Malaga,0.5,0.5,False,False
Amsterdam,Marseille,1.0,0.0,True,False
Amsterdam,Milan,1.0,0.0,True,False
Amsterdam,Munich,1.0,0.0,True,False
Amsterdam,Murcia,0.5,0.5,False,False
Amsterdam,Nantes,0.5,0.5,False,False
Amsterdam,Naples,0.5,0.5,False,False
Amsterdam,Nice,0.5,0.5,False,False
Amsterdam,Nuremberg,0.5,0.5,False,False
Amsterdam,Palermo,0.5,0.5,False,False
Amsterdam,Palma,1.0,0.0,True,False
Amsterdam,Paris,1.0,0.0,True,False
Amsterdam,Porto,1.0,0.0,True,False
Amsterdam,Rome,1.0,0.0,True,False
Amsterdam,Rotterdam,0.044644901762309425,0.9553550982376906,True,True
Amsterdam,Seville,1.0,0.0,True,False
Amsterdam,Strasbourg,1.0,0.0,True,False
Amsterdam,Stuttgart,1.0,0.0,True,False
Amsterdam,The Hague,0.0,1.0,False,True
Amsterdam,Toulouse,1.0,0.0,True,False
Amsterdam,Turin,1.0,0.0,True,False
Amsterdam,Utrecht,0.0,1.0,False,True
Amsterdam,Valencia,0.5,0.5,False,False
Amsterdam,Venice,1.0,0.0,True,False
Amsterdam,Vienna,1.0,0.0,True,False
Amsterdam,Zurich,1.0,0.0,True,False
Antwerp,Barcelona,0.5,0.5,False,False
Antwerp,Berlin,0.5,0.5,False,False
Antwerp,Bilbao,0.5,0.5,False,False
Antwerp,Bordeaux,0.5,0.5,False,False
Antwerp,Bremen,0.5,0.5,False,False
Antwerp,Brussels,0.0,1.0,False,True
Antwerp,Cologne,0.5,0.5,False,False
Antwerp,Dortmund,0.5,0.5,False,False
Antwerp,Dresden,0.5,0.5,False,False
Antwerp,Duisburg,0.5,0.5,False,False
Antwerp,Dusseldorf,0.5,0.5,False,False
Antwerp,Essen,0.5,0.5,False,False
Antwerp,Frankfurt,0.5,0.5,False,False
Antwerp,Geneva,0.5,0.5,False,False
Antwerp,Genoa,0.5,0.5,False,False
Antwerp,Granada,0.5,0.5,False,False
Antwerp,Hamburg,0.5,0.5,False,False
Antwerp,Hannover,0.5,0.5,False,False
Antwerp,Leipzig,0.5,0.5,False,False
Antwerp,Liege,0.5,0.5,False,False
Antwerp,Lille,0.5,0.5,False,False
Antwerp,Lisbon,0.5,0.5,False,False
Antwerp,London,0.5,0.5,False,False
Antwerp,Lyon,0.5,0.5,False,False
Antwerp,Madrid,0.5,0.5,False,False
Antwerp,Malaga,0.5,0.5,False,False
Antwerp,Marseille,0.5,0.5,False,False
Antwerp,Milan,0.5,0.5,False,False
Antwerp,Munich,0.5,0.5,False,False
Antwerp,Murcia,0.5,0.5,False,False
Antwerp,Nantes,0.5,0.5,False,False
Antwerp,Naples,0.5,0.5,False,False
Antwerp,Nice,0.5,0.5,False,False
Antwerp,Nuremberg,0.5,0.5,False,False
Antwerp,Palermo,0.5,0.5,False,False
Antwerp,Palma,0.5,0.5,False,False
Antwerp,Paris,0.5,0.5,False,False
Antwerp,Porto,0.5,0.5,False,False
Antwerp,Rome,0.5,0.5,False,False
Antwerp,Rotterdam,0.0,1.0,False,True
Antwerp,Seville,0.5,0.5,False,False
Antwerp,Strasbourg,0.5,0.5,False,False
Antwerp,Stuttgart,0.5,0.5,False,False
Antwerp,The Hague,0.5,0.5,False,False
Antwerp,Toulouse,0.5,0.5,False,False
Antwerp,Turin,0.5,0.5,False,False
Antwerp,Utrecht,0.5,0.5,False,False
Antwerp,Valencia,0.5,0.5,False,False
Antwerp,Venice,0.5,0.5,False,False
Antwerp,Vienna,0.5,0.5,False,False
Antwerp,Zurich,0.5,0.5,False,False
Barcelona,Berlin,1.0,0.0,True,False
Barcelona,Bilbao,0.0,1.0,False,True
